path	change_type	confidence	bora_added_share	bora_commits_count	en_path_exists
1-js/05-data-types/10-destructuring-assignment/6-max-salary/solution.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/10-destructuring-assignment/6-max-salary/task.md	mixed	개연	0.2273	2	yes
1-js/05-data-types/10-destructuring-assignment/article.md	mixed	개연	0.2337	9	yes
1-js/05-data-types/11-date/1-new-date/solution.md	mixed	개연	0.2222	1	yes
1-js/05-data-types/11-date/1-new-date/task.md	review_edit	개연	0.0	2	yes
1-js/05-data-types/11-date/2-get-week-day/solution.md	mixed	개연	0.2143	2	yes
1-js/05-data-types/11-date/2-get-week-day/task.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/11-date/3-weekday/solution.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/11-date/3-weekday/task.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/11-date/4-get-date-ago/solution.md	mixed	개연	0.2593	2	yes
1-js/05-data-types/11-date/4-get-date-ago/task.md	mixed	개연	0.4286	2	yes
1-js/05-data-types/11-date/5-last-day-of-month/solution.md	review_edit	개연	0.1538	2	yes
1-js/05-data-types/11-date/5-last-day-of-month/task.md	mixed	개연	0.4286	2	yes
1-js/05-data-types/11-date/6-get-seconds-today/solution.md	mixed	개연	0.2143	2	yes
1-js/05-data-types/11-date/6-get-seconds-today/task.md	mixed	개연	0.2667	2	yes
1-js/05-data-types/11-date/7-get-seconds-to-tomorrow/solution.md	mixed	개연	0.2188	2	yes
1-js/05-data-types/11-date/7-get-seconds-to-tomorrow/task.md	mixed	개연	0.2667	2	yes
1-js/05-data-types/11-date/8-format-date-relative/solution.md	mixed	개연	0.2179	2	yes
1-js/05-data-types/11-date/8-format-date-relative/task.md	mixed	개연	0.44	2	yes
1-js/05-data-types/11-date/article.md	mixed	개연	0.3025	3	yes
1-js/05-data-types/12-json/1-serialize-object/solution.md	review_edit	개연	0.0	1	yes
1-js/05-data-types/12-json/1-serialize-object/task.md	review_edit	개연	0.1429	2	yes
1-js/05-data-types/12-json/2-serialize-event-circular/solution.md	review_edit	개연	0.0345	2	yes
1-js/05-data-types/12-json/2-serialize-event-circular/task.md	review_edit	개연	0.1707	2	yes
1-js/05-data-types/12-json/article.md	mixed	개연	0.2243	4	yes
1-js/05-data-types/index.md	mixed	개연	0.6667	2	yes
1-js/06-advanced-functions/01-recursion/01-sum-to/solution.md	review_edit	개연	0.15	1	yes
1-js/06-advanced-functions/01-recursion/01-sum-to/task.md	mixed	개연	0.3056	1	yes
1-js/06-advanced-functions/01-recursion/02-factorial/solution.md	review_edit	개연	0.1818	1	yes
1-js/06-advanced-functions/01-recursion/02-factorial/task.md	mixed	개연	0.2	1	yes
1-js/06-advanced-functions/01-recursion/03-fibonacci-numbers/solution.md	mixed	개연	0.2455	2	yes
1-js/06-advanced-functions/01-recursion/03-fibonacci-numbers/task.md	mixed	개연	0.3333	3	yes
1-js/06-advanced-functions/01-recursion/04-output-single-linked-list/solution.md	review_edit	개연	0.1477	1	yes
1-js/06-advanced-functions/01-recursion/04-output-single-linked-list/task.md	review_edit	개연	0.1429	1	yes
1-js/06-advanced-functions/01-recursion/05-output-single-linked-list-reverse/solution.md	review_edit	개연	0.1081	1	yes
1-js/06-advanced-functions/01-recursion/05-output-single-linked-list-reverse/task.md	mixed	개연	0.25	1	yes
1-js/06-advanced-functions/01-recursion/article.md	mixed	개연	0.2841	6	yes
1-js/06-advanced-functions/02-rest-parameters-spread/article.md	mixed	개연	0.4187	13	yes
1-js/06-advanced-functions/03-closure/1-closure-latest-changes/solution.md	mixed	개연	0.6	1	yes
1-js/06-advanced-functions/03-closure/1-closure-latest-changes/task.md	mixed	개연	0.3478	1	yes
1-js/06-advanced-functions/03-closure/10-make-army/task.md	mixed	개연	0.3429	1	yes
1-js/06-advanced-functions/03-closure/2-closure-variable-access/solution.md	mixed	개연	0.2222	1	yes
1-js/06-advanced-functions/03-closure/2-closure-variable-access/task.md	review_edit	개연	0.1379	1	yes
1-js/06-advanced-functions/03-closure/3-counter-independent/solution.md	mixed	개연	0.6	1	yes
1-js/06-advanced-functions/03-closure/3-counter-independent/task.md	review_edit	개연	0.0968	1	yes
